claim_id,repair_order_id,vin,dealer_id,claim_date,mileage_at_claim,months_in_service,part_number,part_name,system,claim_amount_usd,labor_hours,dtc_primary,claim_status,complaint,cause,correction,repeat_repair_flag,policy_eligible,risk_score,severity_index,recommended_action,escalation_team
C0001,RO00001,1HTHCZ40E9YA38G40,D002,2026-01-10,52105,13,NOX-3301,NOx Sensor Upstream,Aftertreatment,886.0,1.4,P2201,Supplier Recovery Review,Emission warning light on,Wiring and connector condition not fully documented,Replaced sensor after signal test,N,Y,90,0.53,Prepare evidence packet for supplier recovery review,Supplier Quality
C0002,RO00002,1HTXTPXST2JW6XEA6,D005,2026-03-13,31204,36,DEF-4401,DEF Doser Valve,Aftertreatment,1088.0,1.2,P20E8,Approved,DEF system warning and derate,Reductant pressure low and dosing command not met,Replaced doser and flushed crystallized deposit,N,Y,40,0.29,Ask dealer for photos and diagnostic test result,Supplier Quality
C0003,RO00003,1HTWRRBN2YUEUZ92Y,D009,2025-12-31,58810,37,DPF-5501,DPF Assembly,Aftertreatment,3449.0,4.8,P242F,Supplier Recovery Review,DPF restriction warning,High soot loading and regeneration incomplete,Cleaned DPF and reset ash counter,N,N,95,0.77,Prepare evidence packet for supplier recovery review,Supplier Quality
C0004,RO00004,1NKUSRJGF4CBFPR9B,D005,2025-12-18,154853,13,DPF-5501,DPF Assembly,Aftertreatment,3575.0,5.0,P2463,Hold - Missing Evidence,High exhaust back pressure,DPF restriction verified by pressure reading,Cleaned DPF and reset ash counter,N,N,56,0.59,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0005,RO00005,3AK5EVSUYXFJKR1KP,D004,2026-04-27,91408,26,NOX-3302,NOx Sensor Downstream,Aftertreatment,890.0,2.1,P20EE,Pending Dealer Response,Recurring NOx related lamp,Downstream NOx sensor signal out of range,Replaced sensor with updated part,N,Y,74,0.45,Ask dealer for photos and diagnostic test result,Service Engineering
C0006,RO00006,4VG73NGG4Z436DGD2,D007,2026-03-01,27615,40,DPF-5501,DPF Assembly,Aftertreatment,3460.0,5.4,P242F,Supplier Recovery Review,DPF restriction warning,DPF restriction verified by pressure reading,Cleaned DPF and reset ash counter,N,N,80,0.7,Prepare evidence packet for supplier recovery review,Supplier Quality
C0007,RO00007,1NKH1FV0NECRVFRG1,D010,2026-01-19,83334,37,EGR-1001,EGR Valve,Engine and Emission,1279.5,2.3,P0401,Hold - Missing Evidence,Poor acceleration with emission related lamp,Possible EGR cooler restriction not fully verified,Replaced EGR valve and performed regeneration test,N,N,57,0.39,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0008,RO00008,1HTS7E63N182SKAG4,D006,2026-03-06,72014,10,NOX-3302,NOx Sensor Downstream,Aftertreatment,787.0,1.1,P20EE,Hold - Missing Evidence,Check engine light after highway operation,SCR efficiency investigation incomplete,Replaced sensor with updated part,N,Y,46,0.3,Request missing technician notes,Supplier Quality
C0009,RO00009,1HTWRRBN2YUEUZ92Y,D009,2026-04-12,58810,40,TRB-2201,Turbocharger Assembly,Engine and Air Management,2840.5,5.2,P0046,Supplier Recovery Review,Check engine light with underboost fault,Boost pressure leak and turbo actuator fault found,Replaced turbo and verified boost pressure,N,N,91,0.7,Prepare evidence packet for supplier recovery review,Supplier Quality
C0010,RO00010,1HTS7E63N182SKAG4,D010,2025-05-26,85392,1,NOX-3301,NOx Sensor Upstream,Aftertreatment,1017.0,1.9,P2201,Supplier Recovery Review,SCR efficiency fault active,NOx sensor slow response observed,Replaced sensor after signal test,N,Y,83,0.5,Prepare evidence packet for supplier recovery review,Supplier Quality
C0011,RO00011,1HTS7E63N182SKAG4,D004,2026-02-11,73700,9,DPF-5501,DPF Assembly,Aftertreatment,3717.0,5.6,P2463,Pending Dealer Response,DPF restriction warning,High soot loading and regeneration incomplete,Cleaned DPF and reset ash counter,N,Y,42,0.53,Request missing technician notes,Supplier Quality
C0012,RO00012,1HTL1A1T6V48KNVPD,D004,2025-04-12,27979,25,TRB-2201,Turbocharger Assembly,Engine and Air Management,2826.5,4.7,P0046,Escalated - Engineering,Check engine light with underboost fault,Boost pressure leak and turbo actuator fault found,Replaced turbocharger assembly and calibrated actuator,N,Y,46,0.47,Route to service engineering,Service Engineering
C0013,RO00013,W1YL4E116TAHUYHV4,D007,2026-01-04,81045,14,EGR-1001,EGR Valve,Engine and Emission,1401.5,2.0,P0401,Rejected,Engine derate during grade climb,EGR valve sticking due to carbon deposit,"Replaced valve, advised to inspect cooler if repeat occurs",N,Y,58,0.41,Route to service engineering,Supplier Quality
C0014,RO00014,4VGG4ZX49H1NTC4AN,D007,2026-03-09,19887,27,EGR-1001,EGR Valve,Engine and Emission,1309.5,2.2,P0401,Approved,Low power and check engine light on,EGR valve did not pass actuator response test,Replaced EGR valve and cleared fault codes,N,Y,39,0.31,Ask dealer for photos and diagnostic test result,Supplier Quality
C0015,RO00015,1HT48F7Z3YXGLY38V,D007,2026-05-03,21619,22,NOX-3301,NOx Sensor Upstream,Aftertreatment,800.0,1.3,P2201,Approved,Vehicle derate due to aftertreatment fault,Sensor signal unstable during diagnostic test,Replaced upstream NOx sensor and performed road test,N,Y,71,0.42,Approve with observation,Supplier Quality
C0016,RO00016,3AKUAL4YUKPYGF1GZ,D001,2026-01-15,23390,21,NOX-3301,NOx Sensor Upstream,Aftertreatment,1231.65,1.9,P20EE,Escalated - Engineering,Emission warning light on,Wiring and connector condition not fully documented,Replaced upstream NOx sensor and performed road test,Y,Y,99,0.8,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0017,RO00017,1NKAV775YMDT7HE28,D005,2026-03-24,14758,42,TRB-2201,Turbocharger Assembly,Engine and Air Management,3229.77,4.2,P0299,Escalated - Engineering,Low boost pressure and loss of power,Turbo actuator response below specification,Replaced turbo and verified boost pressure,Y,N,88,0.92,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0018,RO00018,W1Y4HRKUKEDLWV5H6,D002,2025-09-04,66077,42,NOX-3302,NOx Sensor Downstream,Aftertreatment,1032.0,2.1,P229F,Supplier Recovery Review,Check engine light after highway operation,Sensor performance below expected threshold,Replaced sensor with updated part,N,N,99,0.58,Prepare evidence packet for supplier recovery review,Supplier Quality
C0019,RO00019,1HTP6T0LHLWGBW12N,D002,2025-12-06,46884,38,EGR-1001,EGR Valve,Engine and Emission,1582.97,3.0,P0401,Escalated - Engineering,Poor acceleration with emission related lamp,EGR valve did not pass actuator response test,Replaced EGR valve and cleared fault codes,Y,N,99,0.83,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0020,RO00020,1HTXTPXST2JW6XEA6,D007,2026-01-23,31204,34,NOX-3302,NOx Sensor Downstream,Aftertreatment,899.0,1.4,P20EE,Supplier Recovery Review,SCR conversion efficiency fault,Downstream NOx sensor signal out of range,Replaced sensor and completed aftertreatment test,N,Y,78,0.47,Prepare evidence packet for supplier recovery review,Supplier Quality
C0021,RO00021,W1YL4E116TAHUYHV4,D007,2025-05-03,81045,5,EGR-1001,EGR Valve,Engine and Emission,1357.5,2.8,P0401,Pending Dealer Response,Engine derate during grade climb,Possible EGR cooler restriction not fully verified,Replaced EGR valve and cleared fault codes,N,Y,67,0.45,Request missing technician notes,Service Engineering
C0022,RO00022,4VG73NGG4Z436DGD2,D008,2026-03-25,77183,41,TRB-2201,Turbocharger Assembly,Engine and Air Management,3077.5,5.2,P2563,Supplier Recovery Review,Check engine light with underboost fault,Turbo actuator response below specification,Replaced turbo and verified boost pressure,N,N,80,0.66,Prepare evidence packet for supplier recovery review,Supplier Quality
C0023,RO00023,1HTX655P97LFV9YFS,D006,2026-02-16,45552,36,EGR-1001,EGR Valve,Engine and Emission,1092.5,2.2,P2457,Pending Dealer Response,Poor acceleration with emission related lamp,Possible EGR cooler restriction not fully verified,Replaced EGR valve and performed regeneration test,N,Y,43,0.31,Request missing technician notes,Warranty Analyst
C0024,RO00024,1HT85FC4XTBFRBUCM,D002,2026-03-01,49264,41,EGR-1001,EGR Valve,Engine and Emission,1263.27,2.3,P2457,Escalated - Engineering,Engine derate during grade climb,Possible EGR cooler restriction not fully verified,Replaced EGR valve and cleared fault codes,Y,N,81,0.71,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0025,RO00025,1HTWRRBN2YUEUZ92Y,D010,2025-08-23,58810,33,NOX-3302,NOx Sensor Downstream,Aftertreatment,1001.0,1.2,P229F,Approved,Recurring NOx related lamp,Downstream NOx sensor signal out of range,Replaced sensor and completed aftertreatment test,N,Y,40,0.29,Ask dealer for photos and diagnostic test result,Service Engineering
C0026,RO00026,4VGTJZES0VL5WAWGJ,D009,2025-06-11,100842,13,DEF-4401,DEF Doser Valve,Aftertreatment,1219.0,2.4,P204F,Hold - Missing Evidence,Reductant pressure fault,DEF doser crystallization observed,Replaced DEF doser and performed dosing test,N,N,42,0.31,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0027,RO00027,3AKUAL4YUKPYGF1GZ,D006,2025-04-04,23390,11,TRB-2201,Turbocharger Assembly,Engine and Air Management,2732.5,4.9,P2563,Supplier Recovery Review,Low boost pressure and loss of power,Turbo actuator response below specification,Replaced turbo and verified boost pressure,N,Y,80,0.63,Prepare evidence packet for supplier recovery review,Supplier Quality
C0028,RO00028,1HTP826KTJST420RJ,D009,2026-03-22,24351,47,DPF-5501,DPF Assembly,Aftertreatment,3722.0,5.7,P2463,Supplier Recovery Review,High exhaust back pressure,DPF restriction verified by pressure reading,Replaced DPF assembly after pressure test,N,N,81,0.72,Prepare evidence packet for supplier recovery review,Supplier Quality
C0029,RO00029,1HTL1A1T6V48KNVPD,D008,2025-04-28,27979,25,NOX-3302,NOx Sensor Downstream,Aftertreatment,984.0,1.4,P20EE,Pending Dealer Response,Check engine light after highway operation,Downstream NOx sensor signal out of range,Replaced sensor and completed aftertreatment test,N,Y,74,0.45,Approve with observation,Warranty Analyst
C0030,RO00030,1HTHCZ40E9YA38G40,D008,2026-04-20,52105,16,EGR-1001,EGR Valve,Engine and Emission,1269.02,2.4,P0402,Escalated - Engineering,Engine derate during grade climb,EGR valve did not pass actuator response test,"Replaced valve, advised to inspect cooler if repeat occurs",Y,Y,99,0.8,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0031,RO00031,4VG73NGG4Z436DGD2,D001,2026-03-28,77183,41,WHS-7701,Rear Wheel Seal,Axle and Wheel End,530.5,2.6,NO_DTC,Hold - Missing Evidence,Oil leak at rear wheel end,Oil leak verified at wheel end,Replaced seal and inspected axle vent,N,N,42,0.26,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0032,RO00032,1HTPUELSL61URXDRC,D006,2025-12-02,29350,30,TRB-2201,Turbocharger Assembly,Engine and Air Management,2832.5,4.3,P2563,Pending Dealer Response,Low boost pressure and loss of power,Turbocharger internal wear suspected,Replaced turbo after failed actuator sweep test,N,Y,57,0.53,Ask dealer for photos and diagnostic test result,Service Engineering
C0033,RO00033,1HTWFSH3R155W4WDG,D007,2025-03-29,41500,6,DPF-5501,DPF Assembly,Aftertreatment,3703.0,5.2,P2463,Supplier Recovery Review,Frequent regeneration request,DPF restriction verified by pressure reading,Replaced DPF assembly after pressure test,N,Y,92,0.78,Prepare evidence packet for supplier recovery review,Supplier Quality
C0034,RO00034,1NKD79LD9FMEES2HS,D004,2026-03-01,28228,30,NOX-3301,NOx Sensor Upstream,Aftertreatment,731.0,0.8,P2202,Supplier Recovery Review,Vehicle derate due to aftertreatment fault,Wiring and connector condition not fully documented,Replaced sensor after signal test,N,Y,89,0.51,Prepare evidence packet for supplier recovery review,Supplier Quality
C0035,RO00035,1HT48F7Z3YXGLY38V,D003,2026-04-27,21619,21,WHS-7701,Rear Wheel Seal,Axle and Wheel End,563.5,2.3,NO_DTC,Supplier Recovery Review,Wheel seal leakage found during inspection,Improper installation or axle vent restriction suspected,Replaced wheel seal and verified no leak,N,Y,89,0.49,Prepare evidence packet for supplier recovery review,Supplier Quality
C0036,RO00036,1NKSMELA357VCRVV6,D008,2025-04-21,81351,3,WHS-7701,Rear Wheel Seal,Axle and Wheel End,656.5,2.4,NO_DTC,Hold - Missing Evidence,Oil leak at rear wheel end,Oil leak verified at wheel end,Replaced rear wheel seal and cleaned hub,N,N,65,0.38,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0037,RO00037,1HTWRRBN2YUEUZ92Y,D002,2025-12-31,58810,37,NOX-3301,NOx Sensor Upstream,Aftertreatment,1038.45,2.0,P20EE,Hold - Missing Evidence,Emission warning light on,Sensor signal unstable during diagnostic test,Replaced sensor and cleared SCR fault,Y,N,58,0.58,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0038,RO00038,4VGTJZES0VL5WAWGJ,D001,2026-03-30,95894,23,DPF-5501,DPF Assembly,Aftertreatment,3471.0,5.2,P2002,Supplier Recovery Review,DPF restriction warning,High soot loading and regeneration incomplete,Replaced DPF assembly after pressure test,N,Y,85,0.72,Prepare evidence packet for supplier recovery review,Supplier Quality
C0039,RO00039,1HT85FC4XTBFRBUCM,D009,2026-03-24,83524,42,CLP-6601,Coolant Pump,Cooling System,699.0,2.0,P0128,Hold - Missing Evidence,Engine temperature running high,Leak path visible at pump housing,Replaced pump seal assembly,N,N,67,0.39,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0040,RO00040,1HTPYPT98TDF4UCAY,D003,2025-10-12,8410,22,DEF-4401,DEF Doser Valve,Aftertreatment,1132.0,1.3,P207F,Supplier Recovery Review,DEF system warning and derate,Doser nozzle blocked,Replaced doser and flushed crystallized deposit,N,Y,86,0.53,Prepare evidence packet for supplier recovery review,Supplier Quality
C0041,RO00041,3AK5EVSUYXFJKR1KP,D006,2025-05-02,12257,14,DEF-4401,DEF Doser Valve,Aftertreatment,1016.0,1.3,P20E8,Pending Dealer Response,DEF dosing fault observed,Reductant pressure low and dosing command not met,Cleaned DEF lines and replaced doser valve,N,Y,55,0.36,Request missing technician notes,Supplier Quality
C0042,RO00042,1HTRRAEDRECYE9SU8,D002,2026-05-01,84924,11,WHS-7701,Rear Wheel Seal,Axle and Wheel End,626.17,1.8,NO_DTC,Hold - Missing Evidence,Grease contamination near wheel hub,Improper installation or axle vent restriction suspected,Replaced wheel seal and verified no leak,Y,N,52,0.51,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0043,RO00043,1NK3KSLM3BMY3SULG,D002,2025-10-08,70309,10,DPF-5501,DPF Assembly,Aftertreatment,3522.0,4.9,P2463,Hold - Missing Evidence,High exhaust back pressure,Ash accumulation suspected,Replaced DPF assembly after pressure test,N,Y,68,0.64,Route to service engineering,Supplier Quality
C0044,RO00044,1HTWRRBN2YUEUZ92Y,D006,2026-04-09,58810,40,TRB-2201,Turbocharger Assembly,Engine and Air Management,2915.5,4.6,P2563,Supplier Recovery Review,Low boost pressure and loss of power,Turbocharger internal wear suspected,Replaced turbo and verified boost pressure,N,N,91,0.7,Prepare evidence packet for supplier recovery review,Supplier Quality
C0045,RO00045,4VGDP31B17AZW13R8,D006,2026-05-04,45428,41,NOX-3301,NOx Sensor Upstream,Aftertreatment,904.0,1.8,P20EE,Hold - Missing Evidence,Emission warning light on,NOx sensor slow response observed,Replaced upstream NOx sensor and performed road test,N,N,41,0.28,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0046,RO00046,3AKSH6J6X5945L75T,D008,2025-07-30,44095,3,TRB-2201,Turbocharger Assembly,Engine and Air Management,2847.5,4.8,P2563,Hold - Missing Evidence,Check engine light with underboost fault,Turbo actuator response below specification,Replaced turbo and verified boost pressure,N,Y,68,0.58,Request missing technician notes,Warranty Analyst
C0047,RO00047,1NKD79LD9FMEES2HS,D002,2026-04-12,126500,31,NOX-3301,NOx Sensor Upstream,Aftertreatment,907.0,1.3,P2201,Hold - Missing Evidence,Vehicle derate due to aftertreatment fault,Sensor signal unstable during diagnostic test,Replaced sensor after signal test,N,N,48,0.32,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0048,RO00048,3AKSH6J6X5945L75T,D009,2026-03-18,60685,11,NOX-3302,NOx Sensor Downstream,Aftertreatment,947.0,1.3,P229F,Approved,Check engine light after highway operation,SCR efficiency investigation incomplete,Replaced sensor with updated part,N,Y,28,0.22,Approve claim after standard policy check,Warranty Operations
C0049,RO00049,1HTUVGNVR0MWAJUCD,D007,2025-07-29,27333,15,CLP-6601,Coolant Pump,Cooling System,1003.0,2.1,P0128,Approved,Engine temperature running high,Pump bearing noise found,Replaced pump seal assembly,N,Y,34,0.26,Approve claim after standard policy check,Warranty Operations
C0050,RO00050,1HTEJJ7LT4PNW2055,D009,2025-12-15,28784,11,NOX-3301,NOx Sensor Upstream,Aftertreatment,1043.0,2.0,P2201,Escalated - Engineering,SCR efficiency fault active,NOx sensor slow response observed,Replaced sensor after signal test,N,Y,53,0.35,Approve with observation,Warranty Analyst
C0051,RO00051,W1Y4HRKUKEDLWV5H6,D003,2025-06-16,96504,40,NOX-3301,NOx Sensor Upstream,Aftertreatment,798.1,1.1,P20EE,Hold - Missing Evidence,Emission warning light on,Wiring and connector condition not fully documented,Replaced sensor after signal test,Y,N,65,0.59,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0052,RO00052,4VGG4ZX49H1NTC4AN,D008,2025-04-02,98559,15,NOX-3302,NOx Sensor Downstream,Aftertreatment,1047.0,1.2,P20EE,Hold - Missing Evidence,Check engine light after highway operation,Sensor performance below expected threshold,Replaced downstream NOx sensor and verified SCR efficiency,N,Y,40,0.29,Route to service engineering,Service Engineering
C0053,RO00053,3AK07Z4YZ6UWTRHNX,D009,2025-12-07,60535,22,TRB-2201,Turbocharger Assembly,Engine and Air Management,3355.12,4.6,P0046,Hold - Missing Evidence,Whistling noise and engine derate,Boost pressure leak and turbo actuator fault found,Replaced turbo after failed actuator sweep test,Y,Y,66,0.82,Request missing technician notes,Warranty Analyst
C0054,RO00054,3AK07Z4YZ6UWTRHNX,D008,2025-12-13,60535,22,WHS-7701,Rear Wheel Seal,Axle and Wheel End,740.02,2.1,NO_DTC,Escalated - Engineering,Grease contamination near wheel hub,Wheel seal lip damaged,Replaced rear wheel seal and cleaned hub,Y,N,99,0.76,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0055,RO00055,4VGGW9NK0LAX8BH0W,D007,2026-01-04,103886,18,NOX-3301,NOx Sensor Upstream,Aftertreatment,885.0,1.3,P2202,Hold - Missing Evidence,Vehicle derate due to aftertreatment fault,Wiring and connector condition not fully documented,Replaced upstream NOx sensor and performed road test,N,N,43,0.29,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0056,RO00056,4VGGW9NK0LAX8BH0W,D007,2025-04-08,96889,9,DPF-5501,DPF Assembly,Aftertreatment,3711.0,4.8,P2463,Hold - Missing Evidence,Frequent regeneration request,High soot loading and regeneration incomplete,Replaced DPF and performed forced regeneration,N,Y,43,0.53,Route to service engineering,Supplier Quality
C0057,RO00057,4VGW9W3X2VJN31MW2,D010,2026-02-25,87212,29,DPF-5501,DPF Assembly,Aftertreatment,3478.0,5.2,P2463,Supplier Recovery Review,DPF restriction warning,DPF restriction verified by pressure reading,Replaced DPF assembly after pressure test,N,Y,76,0.68,Prepare evidence packet for supplier recovery review,Supplier Quality
C0058,RO00058,W1Y4HRKUKEDLWV5H6,D005,2025-07-18,117515,41,EGR-1001,EGR Valve,Engine and Emission,1457.5,2.3,P0402,Hold - Missing Evidence,Poor acceleration with emission related lamp,EGR valve sticking due to carbon deposit,"Replaced valve, advised to inspect cooler if repeat occurs",N,N,66,0.45,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0059,RO00059,3AKUAL4YUKPYGF1GZ,D008,2025-10-17,23390,18,DPF-5501,DPF Assembly,Aftertreatment,3535.0,5.5,P242F,Supplier Recovery Review,DPF restriction warning,Ash accumulation suspected,Replaced DPF assembly after pressure test,N,Y,97,0.79,Prepare evidence packet for supplier recovery review,Supplier Quality
C0060,RO00060,1HTL1A1T6V48KNVPD,D008,2025-08-13,27979,29,DPF-5501,DPF Assembly,Aftertreatment,3694.0,5.0,P2463,Rejected,Frequent regeneration request,Ash accumulation suspected,Replaced DPF assembly after pressure test,N,Y,66,0.65,Route to service engineering,Warranty Analyst
C0061,RO00061,1HTWFSH3R155W4WDG,D005,2026-03-18,81375,18,DEF-4401,DEF Doser Valve,Aftertreatment,1042.0,1.7,P207F,Hold - Missing Evidence,Reductant pressure fault,Doser nozzle blocked,Cleaned DEF lines and replaced doser valve,N,Y,69,0.43,Approve with observation,Warranty Analyst
C0062,RO00062,1HTWFSH3R155W4WDG,D005,2026-03-25,81375,18,NOX-3301,NOx Sensor Upstream,Aftertreatment,1175.3,0.9,P2201,Escalated - Engineering,Emission warning light on,Wiring and connector condition not fully documented,Replaced upstream NOx sensor and performed road test,Y,Y,99,0.8,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0063,RO00063,1HTWFSH3R155W4WDG,D003,2025-06-19,81375,9,CLP-6601,Coolant Pump,Cooling System,1062.0,2.1,P0217,Escalated - Engineering,Coolant leak under vehicle,Coolant pump seal leakage,Replaced pump seal assembly,N,Y,69,0.44,Approve with observation,Supplier Quality
C0064,RO00064,4VGDP31B17AZW13R8,D008,2025-05-01,83882,29,NOX-3301,NOx Sensor Upstream,Aftertreatment,1115.5,1.4,P2201,Escalated - Engineering,Vehicle derate due to aftertreatment fault,Wiring and connector condition not fully documented,Replaced sensor after signal test,Y,Y,56,0.58,Approve with observation,Service Engineering
C0065,RO00065,1HT5J4MU6SE5GDAFS,D008,2025-05-17,56810,11,DEF-4401,DEF Doser Valve,Aftertreatment,991.0,1.7,P204F,Hold - Missing Evidence,DEF dosing fault observed,Reductant pressure low and dosing command not met,Cleaned DEF lines and replaced doser valve,N,Y,57,0.37,Route to service engineering,Service Engineering
C0066,RO00066,1NK4AHEKC0K4JCW0C,D007,2025-10-03,77412,32,NOX-3302,NOx Sensor Downstream,Aftertreatment,1065.0,1.7,P20EE,Approved,Check engine light after highway operation,SCR efficiency investigation incomplete,Replaced sensor and completed aftertreatment test,N,Y,26,0.22,Approve claim after standard policy check,Warranty Operations
C0067,RO00067,4VGG4ZX49H1NTC4AN,D002,2025-11-12,65894,23,DEF-4401,DEF Doser Valve,Aftertreatment,1084.0,2.2,P204F,Supplier Recovery Review,DEF dosing fault observed,Doser nozzle blocked,Replaced DEF doser and performed dosing test,N,Y,44,0.31,Approve with observation,Service Engineering
C0068,RO00068,1NKSMELA357VCRVV6,D002,2025-08-12,81351,7,EGR-1001,EGR Valve,Engine and Emission,1133.5,2.5,P0401,Escalated - Engineering,Poor acceleration with emission related lamp,EGR valve sticking due to carbon deposit,"Replaced valve, advised to inspect cooler if repeat occurs",N,Y,46,0.33,Route to service engineering,Warranty Analyst
C0069,RO00069,1HT2L6JB2BF4J6MDT,D008,2025-08-06,129209,27,EGR-1001,EGR Valve,Engine and Emission,1427.5,2.7,P2457,Hold - Missing Evidence,Engine derate during grade climb,EGR valve did not pass actuator response test,Replaced EGR valve and performed regeneration test,N,N,47,0.36,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0070,RO00070,3AKU764UXSFU5S61Y,D001,2025-10-22,55181,15,DEF-4401,DEF Doser Valve,Aftertreatment,1213.0,2.3,P204F,Supplier Recovery Review,Reductant pressure fault,Reductant pressure low and dosing command not met,Replaced DEF doser and performed dosing test,N,Y,78,0.49,Prepare evidence packet for supplier recovery review,Supplier Quality
C0071,RO00071,4VGDP31B17AZW13R8,D009,2025-05-12,66376,30,NOX-3301,NOx Sensor Upstream,Aftertreatment,832.0,1.4,P2201,Supplier Recovery Review,Vehicle derate due to aftertreatment fault,Wiring and connector condition not fully documented,Replaced sensor after signal test,N,Y,84,0.49,Prepare evidence packet for supplier recovery review,Supplier Quality
C0072,RO00072,1NKD79LD9FMEES2HS,D002,2025-03-31,117901,18,EGR-1001,EGR Valve,Engine and Emission,1065.5,2.5,P2457,Hold - Missing Evidence,Low power and check engine light on,EGR valve sticking due to carbon deposit,Replaced EGR valve and performed regeneration test,N,N,67,0.43,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0073,RO00073,1HTP6T0LHLWGBW12N,D004,2025-04-28,22796,30,NOX-3302,NOx Sensor Downstream,Aftertreatment,843.0,1.1,P229F,Pending Dealer Response,SCR conversion efficiency fault,SCR efficiency investigation incomplete,Replaced sensor and completed aftertreatment test,N,Y,54,0.34,Approve with observation,Supplier Quality
C0074,RO00074,1HTWFSH3R155W4WDG,D010,2025-07-03,81375,9,NOX-3301,NOx Sensor Upstream,Aftertreatment,856.0,1.3,P20EE,Supplier Recovery Review,Vehicle derate due to aftertreatment fault,Sensor signal unstable during diagnostic test,Replaced sensor after signal test,N,Y,81,0.48,Prepare evidence packet for supplier recovery review,Supplier Quality
C0075,RO00075,4VG73NGG4Z436DGD2,D008,2025-08-05,77183,33,EGR-1001,EGR Valve,Engine and Emission,1125.5,2.1,P0402,Supplier Recovery Review,Low power and check engine light on,EGR valve did not pass actuator response test,Replaced EGR valve and performed regeneration test,N,Y,82,0.51,Prepare evidence packet for supplier recovery review,Supplier Quality
C0076,RO00076,1NK3KSLM3BMY3SULG,D007,2026-04-12,57325,16,EGR-1001,EGR Valve,Engine and Emission,1343.5,2.9,P2457,Supplier Recovery Review,Engine derate during grade climb,EGR valve sticking due to carbon deposit,Replaced EGR valve and performed regeneration test,N,Y,52,0.38,Ask dealer for photos and diagnostic test result,Service Engineering
C0077,RO00077,1HTPYPT98TDF4UCAY,D009,2025-04-17,54357,16,DPF-5501,DPF Assembly,Aftertreatment,3657.0,4.7,P242F,Escalated - Engineering,DPF restriction warning,Ash accumulation suspected,Cleaned DPF and reset ash counter,N,Y,70,0.66,Approve with observation,Service Engineering
C0078,RO00078,1NKH1FV0NECRVFRG1,D010,2025-05-05,46252,29,NOX-3302,NOx Sensor Downstream,Aftertreatment,994.0,1.2,P229F,Supplier Recovery Review,Check engine light after highway operation,Downstream NOx sensor signal out of range,Replaced downstream NOx sensor and verified SCR efficiency,N,Y,86,0.52,Prepare evidence packet for supplier recovery review,Supplier Quality
C0079,RO00079,3AKTYUUANFS38S785,D008,2026-02-22,70090,22,WHS-7701,Rear Wheel Seal,Axle and Wheel End,721.5,2.5,NO_DTC,Supplier Recovery Review,Oil leak at rear wheel end,Oil leak verified at wheel end,Replaced wheel seal and verified no leak,N,N,99,0.56,Prepare evidence packet for supplier recovery review,Supplier Quality
C0080,RO00080,1HTRRAEDRECYE9SU8,D004,2025-05-22,47591,1,TRB-2201,Turbocharger Assembly,Engine and Air Management,3358.57,5.0,P0299,Escalated - Engineering,Low boost pressure and loss of power,Turbocharger internal wear suspected,Replaced turbo after failed actuator sweep test,Y,Y,82,0.9,Create engineering observation and request full diagnostic evidence,Warranty Engineering
