repair_order_id,vin,dealer_id,visit_date,odometer,customer_complaint,technician_notes,diagnosis,part_replaced,labor_hours,repair_cost_usd,repair_outcome
RO00001,1HTHCZ40E9YA38G40,D002,2026-01-10,52105,Emission warning light on,Technician observed P2201. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,1.1,886.0,Customer Returned
RO00002,1HTXTPXST2JW6XEA6,D005,2026-03-10,31204,DEF system warning and derate,Technician observed P20E8. Reductant pressure low and dosing command not met. Performed basic diagnostic checks.,Reductant pressure low and dosing command not met,DEF Doser Valve,1.4,1088.0,Fixed First Visit
RO00003,1HTWRRBN2YUEUZ92Y,D009,2025-12-30,58810,DPF restriction warning,Technician observed P242F. High soot loading and regeneration incomplete. Performed basic diagnostic checks.,High soot loading and regeneration incomplete,DPF Assembly,5.8,3449.0,Customer Returned
RO00004,1NKUSRJGF4CBFPR9B,D005,2025-12-15,154853,High exhaust back pressure,Technician observed P2463. DPF restriction verified by pressure reading. Performed basic diagnostic checks.,DPF restriction verified by pressure reading,DPF Assembly,5.3,3575.0,Customer Returned
RO00005,3AK5EVSUYXFJKR1KP,D004,2026-04-25,91408,Recurring NOx related lamp,Technician observed P20EE. Downstream NOx sensor signal out of range. Performed basic diagnostic checks.,Downstream NOx sensor signal out of range,NOx Sensor Downstream,2.0,890.0,Pending Verification
RO00006,4VG73NGG4Z436DGD2,D007,2026-02-27,27615,DPF restriction warning,Technician observed P242F. DPF restriction verified by pressure reading. Performed basic diagnostic checks.,DPF restriction verified by pressure reading,DPF Assembly,5.8,3460.0,Pending Verification
RO00007,1NKH1FV0NECRVFRG1,D010,2026-01-17,83334,Poor acceleration with emission related lamp,Technician observed P0401. Possible EGR cooler restriction not fully verified. Performed basic diagnostic checks.,Possible EGR cooler restriction not fully verified,EGR Valve,3.0,1279.5,Fixed First Visit
RO00008,1HTS7E63N182SKAG4,D006,2026-03-05,72014,Check engine light after highway operation,Technician observed P20EE. SCR efficiency investigation incomplete. Performed basic diagnostic checks.,SCR efficiency investigation incomplete,NOx Sensor Downstream,1.2,787.0,Customer Returned
RO00009,1HTWRRBN2YUEUZ92Y,D009,2026-04-11,58810,Check engine light with underboost fault,Technician observed P0046. Boost pressure leak and turbo actuator fault found. Performed basic diagnostic checks.,Boost pressure leak and turbo actuator fault found,Turbocharger Assembly,5.5,2840.5,Pending Verification
RO00010,1HTS7E63N182SKAG4,D010,2025-05-26,85392,SCR efficiency fault active,Technician observed P2201. NOx sensor slow response observed. Performed basic diagnostic checks.,NOx sensor slow response observed,NOx Sensor Upstream,2.1,1017.0,Pending Verification
RO00011,1HTS7E63N182SKAG4,D004,2026-02-11,73700,DPF restriction warning,Technician observed P2463. High soot loading and regeneration incomplete. Performed basic diagnostic checks.,High soot loading and regeneration incomplete,DPF Assembly,5.5,3717.0,Repeat Visit Risk
RO00012,1HTL1A1T6V48KNVPD,D004,2025-04-12,27979,Check engine light with underboost fault,Technician observed P0046. Boost pressure leak and turbo actuator fault found. Performed basic diagnostic checks.,Boost pressure leak and turbo actuator fault found,Turbocharger Assembly,4.4,2826.5,Repeat Visit Risk
RO00013,W1YL4E116TAHUYHV4,D007,2026-01-04,81045,Engine derate during grade climb,Technician observed P0401. EGR valve sticking due to carbon deposit. Performed basic diagnostic checks.,EGR valve sticking due to carbon deposit,EGR Valve,2.6,1401.5,Customer Returned
RO00014,4VGG4ZX49H1NTC4AN,D007,2026-03-06,19887,Low power and check engine light on,Technician observed P0401. EGR valve did not pass actuator response test. Performed basic diagnostic checks.,EGR valve did not pass actuator response test,EGR Valve,2.6,1309.5,Repeat Visit Risk
RO00015,1HT48F7Z3YXGLY38V,D007,2026-05-02,21619,Vehicle derate due to aftertreatment fault,Technician observed P2201. Sensor signal unstable during diagnostic test. Performed basic diagnostic checks.,Sensor signal unstable during diagnostic test,NOx Sensor Upstream,2.2,800.0,Pending Verification
RO00016,3AKUAL4YUKPYGF1GZ,D001,2026-01-14,23390,Emission warning light on,Technician observed P20EE. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,1.3,1231.65,Repeat Visit Risk
RO00017,1NKAV775YMDT7HE28,D005,2026-03-21,14758,Low boost pressure and loss of power,Technician observed P0299. Turbo actuator response below specification. Performed basic diagnostic checks.,Turbo actuator response below specification,Turbocharger Assembly,4.9,3229.77,Fixed First Visit
RO00018,W1Y4HRKUKEDLWV5H6,D002,2025-09-04,66077,Check engine light after highway operation,Technician observed P229F. Sensor performance below expected threshold. Performed basic diagnostic checks.,Sensor performance below expected threshold,NOx Sensor Downstream,2.2,1032.0,Pending Verification
RO00019,1HTP6T0LHLWGBW12N,D002,2025-12-04,46884,Poor acceleration with emission related lamp,Technician observed P0401. EGR valve did not pass actuator response test. Performed basic diagnostic checks.,EGR valve did not pass actuator response test,EGR Valve,2.4,1582.97,Pending Verification
RO00020,1HTXTPXST2JW6XEA6,D007,2026-01-21,31204,SCR conversion efficiency fault,Technician observed P20EE. Downstream NOx sensor signal out of range. Performed basic diagnostic checks.,Downstream NOx sensor signal out of range,NOx Sensor Downstream,1.4,899.0,Repeat Visit Risk
RO00021,W1YL4E116TAHUYHV4,D007,2025-05-03,81045,Engine derate during grade climb,Technician observed P0401. Possible EGR cooler restriction not fully verified. Performed basic diagnostic checks.,Possible EGR cooler restriction not fully verified,EGR Valve,3.1,1357.5,Customer Returned
RO00022,4VG73NGG4Z436DGD2,D008,2026-03-25,77183,Check engine light with underboost fault,Technician observed P2563. Turbo actuator response below specification. Performed basic diagnostic checks.,Turbo actuator response below specification,Turbocharger Assembly,5.0,3077.5,Customer Returned
RO00023,1HTX655P97LFV9YFS,D006,2026-02-13,45552,Poor acceleration with emission related lamp,Technician observed P2457. Possible EGR cooler restriction not fully verified. Performed basic diagnostic checks.,Possible EGR cooler restriction not fully verified,EGR Valve,2.2,1092.5,Customer Returned
RO00024,1HT85FC4XTBFRBUCM,D002,2026-02-26,49264,Engine derate during grade climb,Technician observed P2457. Possible EGR cooler restriction not fully verified. Performed basic diagnostic checks.,Possible EGR cooler restriction not fully verified,EGR Valve,2.3,1263.27,Repeat Visit Risk
RO00025,1HTWRRBN2YUEUZ92Y,D010,2025-08-23,58810,Recurring NOx related lamp,Technician observed P229F. Downstream NOx sensor signal out of range. Performed basic diagnostic checks.,Downstream NOx sensor signal out of range,NOx Sensor Downstream,0.9,1001.0,Pending Verification
RO00026,4VGTJZES0VL5WAWGJ,D009,2025-06-09,100842,Reductant pressure fault,Technician observed P204F. DEF doser crystallization observed. Performed basic diagnostic checks.,DEF doser crystallization observed,DEF Doser Valve,2.0,1219.0,Pending Verification
RO00027,3AKUAL4YUKPYGF1GZ,D006,2025-04-04,23390,Low boost pressure and loss of power,Technician observed P2563. Turbo actuator response below specification. Performed basic diagnostic checks.,Turbo actuator response below specification,Turbocharger Assembly,4.7,2732.5,Customer Returned
RO00028,1HTP826KTJST420RJ,D009,2026-03-21,24351,High exhaust back pressure,Technician observed P2463. DPF restriction verified by pressure reading. Performed basic diagnostic checks.,DPF restriction verified by pressure reading,DPF Assembly,4.8,3722.0,Customer Returned
RO00029,1HTL1A1T6V48KNVPD,D008,2025-04-26,27979,Check engine light after highway operation,Technician observed P20EE. Downstream NOx sensor signal out of range. Performed basic diagnostic checks.,Downstream NOx sensor signal out of range,NOx Sensor Downstream,1.9,984.0,Fixed First Visit
RO00030,1HTHCZ40E9YA38G40,D008,2026-04-20,52105,Engine derate during grade climb,Technician observed P0402. EGR valve did not pass actuator response test. Performed basic diagnostic checks.,EGR valve did not pass actuator response test,EGR Valve,2.4,1269.02,Repeat Visit Risk
RO00031,4VG73NGG4Z436DGD2,D001,2026-03-27,77183,Oil leak at rear wheel end,Technician observed NO_DTC. Oil leak verified at wheel end. Performed basic diagnostic checks.,Oil leak verified at wheel end,Rear Wheel Seal,1.9,530.5,Customer Returned
RO00032,1HTPUELSL61URXDRC,D006,2025-11-30,29350,Low boost pressure and loss of power,Technician observed P2563. Turbocharger internal wear suspected. Performed basic diagnostic checks.,Turbocharger internal wear suspected,Turbocharger Assembly,4.6,2832.5,Pending Verification
RO00033,1HTWFSH3R155W4WDG,D007,2025-03-27,41500,Frequent regeneration request,Technician observed P2463. DPF restriction verified by pressure reading. Performed basic diagnostic checks.,DPF restriction verified by pressure reading,DPF Assembly,4.7,3703.0,Customer Returned
RO00034,1NKD79LD9FMEES2HS,D004,2026-02-27,28228,Vehicle derate due to aftertreatment fault,Technician observed P2202. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,2.0,731.0,Repeat Visit Risk
RO00035,1HT48F7Z3YXGLY38V,D003,2026-04-26,21619,Wheel seal leakage found during inspection,Technician observed NO_DTC. Improper installation or axle vent restriction suspected. Performed basic diagnostic checks.,Improper installation or axle vent restriction suspected,Rear Wheel Seal,2.1,563.5,Customer Returned
RO00036,1NKSMELA357VCRVV6,D008,2025-04-21,81351,Oil leak at rear wheel end,Technician observed NO_DTC. Oil leak verified at wheel end. Performed basic diagnostic checks.,Oil leak verified at wheel end,Rear Wheel Seal,2.2,656.5,Customer Returned
RO00037,1HTWRRBN2YUEUZ92Y,D002,2025-12-28,58810,Emission warning light on,Technician observed P20EE. Sensor signal unstable during diagnostic test. Performed basic diagnostic checks.,Sensor signal unstable during diagnostic test,NOx Sensor Upstream,1.0,1038.45,Customer Returned
RO00038,4VGTJZES0VL5WAWGJ,D001,2026-03-30,95894,DPF restriction warning,Technician observed P2002. High soot loading and regeneration incomplete. Performed basic diagnostic checks.,High soot loading and regeneration incomplete,DPF Assembly,5.9,3471.0,Fixed First Visit
RO00039,1HT85FC4XTBFRBUCM,D009,2026-03-24,83524,Engine temperature running high,Technician observed P0128. Leak path visible at pump housing. Performed basic diagnostic checks.,Leak path visible at pump housing,Coolant Pump,2.6,699.0,Pending Verification
RO00040,1HTPYPT98TDF4UCAY,D003,2025-10-10,8410,DEF system warning and derate,Technician observed P207F. Doser nozzle blocked. Performed basic diagnostic checks.,Doser nozzle blocked,DEF Doser Valve,1.4,1132.0,Fixed First Visit
RO00041,3AK5EVSUYXFJKR1KP,D006,2025-04-30,12257,DEF dosing fault observed,Technician observed P20E8. Reductant pressure low and dosing command not met. Performed basic diagnostic checks.,Reductant pressure low and dosing command not met,DEF Doser Valve,2.4,1016.0,Repeat Visit Risk
RO00042,1HTRRAEDRECYE9SU8,D002,2026-04-28,84924,Grease contamination near wheel hub,Technician observed NO_DTC. Improper installation or axle vent restriction suspected. Performed basic diagnostic checks.,Improper installation or axle vent restriction suspected,Rear Wheel Seal,1.7,626.17,Repeat Visit Risk
RO00043,1NK3KSLM3BMY3SULG,D002,2025-10-08,70309,High exhaust back pressure,Technician observed P2463. Ash accumulation suspected. Performed basic diagnostic checks.,Ash accumulation suspected,DPF Assembly,5.6,3522.0,Fixed First Visit
RO00044,1HTWRRBN2YUEUZ92Y,D006,2026-04-09,58810,Low boost pressure and loss of power,Technician observed P2563. Turbocharger internal wear suspected. Performed basic diagnostic checks.,Turbocharger internal wear suspected,Turbocharger Assembly,5.1,2915.5,Customer Returned
RO00045,4VGDP31B17AZW13R8,D006,2026-05-02,45428,Emission warning light on,Technician observed P20EE. NOx sensor slow response observed. Performed basic diagnostic checks.,NOx sensor slow response observed,NOx Sensor Upstream,1.4,904.0,Fixed First Visit
RO00046,3AKSH6J6X5945L75T,D008,2025-07-30,44095,Check engine light with underboost fault,Technician observed P2563. Turbo actuator response below specification. Performed basic diagnostic checks.,Turbo actuator response below specification,Turbocharger Assembly,4.5,2847.5,Customer Returned
RO00047,1NKD79LD9FMEES2HS,D002,2026-04-12,126500,Vehicle derate due to aftertreatment fault,Technician observed P2201. Sensor signal unstable during diagnostic test. Performed basic diagnostic checks.,Sensor signal unstable during diagnostic test,NOx Sensor Upstream,1.6,907.0,Customer Returned
RO00048,3AKSH6J6X5945L75T,D009,2026-03-17,60685,Check engine light after highway operation,Technician observed P229F. SCR efficiency investigation incomplete. Performed basic diagnostic checks.,SCR efficiency investigation incomplete,NOx Sensor Downstream,1.7,947.0,Fixed First Visit
RO00049,1HTUVGNVR0MWAJUCD,D007,2025-07-28,27333,Engine temperature running high,Technician observed P0128. Pump bearing noise found. Performed basic diagnostic checks.,Pump bearing noise found,Coolant Pump,2.6,1003.0,Repeat Visit Risk
RO00050,1HTEJJ7LT4PNW2055,D009,2025-12-13,28784,SCR efficiency fault active,Technician observed P2201. NOx sensor slow response observed. Performed basic diagnostic checks.,NOx sensor slow response observed,NOx Sensor Upstream,1.1,1043.0,Customer Returned
RO00051,W1Y4HRKUKEDLWV5H6,D003,2025-06-15,96504,Emission warning light on,Technician observed P20EE. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,1.9,798.1,Pending Verification
RO00052,4VGG4ZX49H1NTC4AN,D008,2025-04-01,98559,Check engine light after highway operation,Technician observed P20EE. Sensor performance below expected threshold. Performed basic diagnostic checks.,Sensor performance below expected threshold,NOx Sensor Downstream,1.3,1047.0,Customer Returned
RO00053,3AK07Z4YZ6UWTRHNX,D009,2025-12-06,60535,Whistling noise and engine derate,Technician observed P0046. Boost pressure leak and turbo actuator fault found. Performed basic diagnostic checks.,Boost pressure leak and turbo actuator fault found,Turbocharger Assembly,5.3,3355.12,Customer Returned
RO00054,3AK07Z4YZ6UWTRHNX,D008,2025-12-13,60535,Grease contamination near wheel hub,Technician observed NO_DTC. Wheel seal lip damaged. Performed basic diagnostic checks.,Wheel seal lip damaged,Rear Wheel Seal,1.5,740.02,Pending Verification
RO00055,4VGGW9NK0LAX8BH0W,D007,2026-01-02,103886,Vehicle derate due to aftertreatment fault,Technician observed P2202. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,1.0,885.0,Pending Verification
RO00056,4VGGW9NK0LAX8BH0W,D007,2025-04-06,96889,Frequent regeneration request,Technician observed P2463. High soot loading and regeneration incomplete. Performed basic diagnostic checks.,High soot loading and regeneration incomplete,DPF Assembly,5.7,3711.0,Pending Verification
RO00057,4VGW9W3X2VJN31MW2,D010,2026-02-23,87212,DPF restriction warning,Technician observed P2463. DPF restriction verified by pressure reading. Performed basic diagnostic checks.,DPF restriction verified by pressure reading,DPF Assembly,5.3,3478.0,Fixed First Visit
RO00058,W1Y4HRKUKEDLWV5H6,D005,2025-07-15,117515,Poor acceleration with emission related lamp,Technician observed P0402. EGR valve sticking due to carbon deposit. Performed basic diagnostic checks.,EGR valve sticking due to carbon deposit,EGR Valve,2.0,1457.5,Repeat Visit Risk
RO00059,3AKUAL4YUKPYGF1GZ,D008,2025-10-16,23390,DPF restriction warning,Technician observed P242F. Ash accumulation suspected. Performed basic diagnostic checks.,Ash accumulation suspected,DPF Assembly,5.4,3535.0,Customer Returned
RO00060,1HTL1A1T6V48KNVPD,D008,2025-08-11,27979,Frequent regeneration request,Technician observed P2463. Ash accumulation suspected. Performed basic diagnostic checks.,Ash accumulation suspected,DPF Assembly,5.7,3694.0,Repeat Visit Risk
RO00061,1HTWFSH3R155W4WDG,D005,2026-03-15,81375,Reductant pressure fault,Technician observed P207F. Doser nozzle blocked. Performed basic diagnostic checks.,Doser nozzle blocked,DEF Doser Valve,2.2,1042.0,Pending Verification
RO00062,1HTWFSH3R155W4WDG,D005,2026-03-22,81375,Emission warning light on,Technician observed P2201. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,1.3,1175.3,Pending Verification
RO00063,1HTWFSH3R155W4WDG,D003,2025-06-19,81375,Coolant leak under vehicle,Technician observed P0217. Coolant pump seal leakage. Performed basic diagnostic checks.,Coolant pump seal leakage,Coolant Pump,2.7,1062.0,Repeat Visit Risk
RO00064,4VGDP31B17AZW13R8,D008,2025-04-30,83882,Vehicle derate due to aftertreatment fault,Technician observed P2201. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,2.0,1115.5,Pending Verification
RO00065,1HT5J4MU6SE5GDAFS,D008,2025-05-17,56810,DEF dosing fault observed,Technician observed P204F. Reductant pressure low and dosing command not met. Performed basic diagnostic checks.,Reductant pressure low and dosing command not met,DEF Doser Valve,1.5,991.0,Repeat Visit Risk
RO00066,1NK4AHEKC0K4JCW0C,D007,2025-10-03,77412,Check engine light after highway operation,Technician observed P20EE. SCR efficiency investigation incomplete. Performed basic diagnostic checks.,SCR efficiency investigation incomplete,NOx Sensor Downstream,1.8,1065.0,Pending Verification
RO00067,4VGG4ZX49H1NTC4AN,D002,2025-11-11,65894,DEF dosing fault observed,Technician observed P204F. Doser nozzle blocked. Performed basic diagnostic checks.,Doser nozzle blocked,DEF Doser Valve,2.3,1084.0,Fixed First Visit
RO00068,1NKSMELA357VCRVV6,D002,2025-08-12,81351,Poor acceleration with emission related lamp,Technician observed P0401. EGR valve sticking due to carbon deposit. Performed basic diagnostic checks.,EGR valve sticking due to carbon deposit,EGR Valve,3.0,1133.5,Pending Verification
RO00069,1HT2L6JB2BF4J6MDT,D008,2025-08-06,129209,Engine derate during grade climb,Technician observed P2457. EGR valve did not pass actuator response test. Performed basic diagnostic checks.,EGR valve did not pass actuator response test,EGR Valve,1.9,1427.5,Customer Returned
RO00070,3AKU764UXSFU5S61Y,D001,2025-10-19,55181,Reductant pressure fault,Technician observed P204F. Reductant pressure low and dosing command not met. Performed basic diagnostic checks.,Reductant pressure low and dosing command not met,DEF Doser Valve,1.8,1213.0,Repeat Visit Risk
RO00071,4VGDP31B17AZW13R8,D009,2025-05-09,66376,Vehicle derate due to aftertreatment fault,Technician observed P2201. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,2.0,832.0,Repeat Visit Risk
RO00072,1NKD79LD9FMEES2HS,D002,2025-03-28,117901,Low power and check engine light on,Technician observed P2457. EGR valve sticking due to carbon deposit. Performed basic diagnostic checks.,EGR valve sticking due to carbon deposit,EGR Valve,2.6,1065.5,Fixed First Visit
RO00073,1HTP6T0LHLWGBW12N,D004,2025-04-27,22796,SCR conversion efficiency fault,Technician observed P229F. SCR efficiency investigation incomplete. Performed basic diagnostic checks.,SCR efficiency investigation incomplete,NOx Sensor Downstream,2.2,843.0,Repeat Visit Risk
RO00074,1HTWFSH3R155W4WDG,D010,2025-07-02,81375,Vehicle derate due to aftertreatment fault,Technician observed P20EE. Sensor signal unstable during diagnostic test. Performed basic diagnostic checks.,Sensor signal unstable during diagnostic test,NOx Sensor Upstream,1.3,856.0,Repeat Visit Risk
RO00075,4VG73NGG4Z436DGD2,D008,2025-08-05,77183,Low power and check engine light on,Technician observed P0402. EGR valve did not pass actuator response test. Performed basic diagnostic checks.,EGR valve did not pass actuator response test,EGR Valve,3.0,1125.5,Customer Returned
RO00076,1NK3KSLM3BMY3SULG,D007,2026-04-12,57325,Engine derate during grade climb,Technician observed P2457. EGR valve sticking due to carbon deposit. Performed basic diagnostic checks.,EGR valve sticking due to carbon deposit,EGR Valve,2.8,1343.5,Pending Verification
RO00077,1HTPYPT98TDF4UCAY,D009,2025-04-14,54357,DPF restriction warning,Technician observed P242F. Ash accumulation suspected. Performed basic diagnostic checks.,Ash accumulation suspected,DPF Assembly,5.7,3657.0,Customer Returned
RO00078,1NKH1FV0NECRVFRG1,D010,2025-05-02,46252,Check engine light after highway operation,Technician observed P229F. Downstream NOx sensor signal out of range. Performed basic diagnostic checks.,Downstream NOx sensor signal out of range,NOx Sensor Downstream,1.6,994.0,Repeat Visit Risk
RO00079,3AKTYUUANFS38S785,D008,2026-02-22,70090,Oil leak at rear wheel end,Technician observed NO_DTC. Oil leak verified at wheel end. Performed basic diagnostic checks.,Oil leak verified at wheel end,Rear Wheel Seal,2.5,721.5,Fixed First Visit
RO00080,1HTRRAEDRECYE9SU8,D004,2025-05-19,47591,Low boost pressure and loss of power,Technician observed P0299. Turbocharger internal wear suspected. Performed basic diagnostic checks.,Turbocharger internal wear suspected,Turbocharger Assembly,5.1,3358.57,Fixed First Visit
RO00081,1NKUSRJGF4CBFPR9B,D001,2025-08-18,80153,DEF system warning and derate,Routine service visit with diagnostic scan and repair notes.,Doser nozzle blocked,DEF Doser Valve,2.4,972.0,No Trouble Found
RO00082,1HTL1A1T6V48KNVPD,D002,2025-08-24,44032,Low boost pressure and loss of power,Routine service visit with diagnostic scan and repair notes.,Turbo actuator response below specification,Turbocharger Assembly,5.1,2639.0,No Trouble Found
RO00083,1NK3KSLM3BMY3SULG,D007,2025-11-09,111437,Whistling noise and engine derate,Routine service visit with diagnostic scan and repair notes.,Turbocharger internal wear suspected,Turbocharger Assembly,4.7,2753.0,Fixed First Visit
RO00084,4VGG4ZX49H1NTC4AN,D002,2026-04-02,111241,Engine derate during grade climb,Routine service visit with diagnostic scan and repair notes.,EGR valve did not pass actuator response test,EGR Valve,2.7,1019.0,Customer Declined Repair
RO00085,1NKUSRJGF4CBFPR9B,D003,2025-09-06,118746,Check engine light with underboost fault,Routine service visit with diagnostic scan and repair notes.,Boost pressure leak and turbo actuator fault found,Turbocharger Assembly,5.1,2794.0,Fixed First Visit
RO00086,1HTUVGNVR0MWAJUCD,D001,2026-01-31,153579,Check engine light after highway operation,Routine service visit with diagnostic scan and repair notes.,Sensor performance below expected threshold,NOx Sensor Downstream,1.2,684.0,Customer Declined Repair
RO00087,1NK3KSLM3BMY3SULG,D009,2026-02-17,87440,Low power and check engine light on,Routine service visit with diagnostic scan and repair notes.,EGR valve sticking due to carbon deposit,EGR Valve,2.7,1197.0,Customer Declined Repair
RO00088,4VGDP31B17AZW13R8,D002,2026-02-25,152838,DEF system warning and derate,Routine service visit with diagnostic scan and repair notes.,Doser nozzle blocked,DEF Doser Valve,2.4,899.0,Customer Declined Repair
RO00089,1NKAV775YMDT7HE28,D006,2025-04-28,41687,Coolant level drops after operation,Routine service visit with diagnostic scan and repair notes.,Leak path visible at pump housing,Coolant Pump,1.9,820.0,No Trouble Found
RO00090,1HTPUELSL61URXDRC,D002,2026-01-21,24927,Engine temperature running high,Routine service visit with diagnostic scan and repair notes.,Leak path visible at pump housing,Coolant Pump,2.6,874.0,Customer Declined Repair
RO00091,4VGDP31B17AZW13R8,D006,2025-06-29,76651,Engine derate during grade climb,Routine service visit with diagnostic scan and repair notes.,EGR valve did not pass actuator response test,EGR Valve,2.3,1146.0,No Trouble Found
RO00092,1HTU3TF7BDZRECBSN,D003,2026-04-06,167166,Engine temperature running high,Routine service visit with diagnostic scan and repair notes.,Coolant pump seal leakage,Coolant Pump,2.5,651.0,No Trouble Found
RO00093,4VG73NGG4Z436DGD2,D007,2025-05-06,107137,SCR efficiency fault active,Routine service visit with diagnostic scan and repair notes.,Sensor signal unstable during diagnostic test,NOx Sensor Upstream,1.3,651.0,No Trouble Found
RO00094,1HTP6T0LHLWGBW12N,D006,2026-03-28,39735,DEF system warning and derate,Routine service visit with diagnostic scan and repair notes.,DEF doser crystallization observed,DEF Doser Valve,2.0,942.0,Customer Declined Repair
RO00095,3AK07Z4YZ6UWTRHNX,D007,2026-05-06,28493,Whistling noise and engine derate,Routine service visit with diagnostic scan and repair notes.,Turbocharger internal wear suspected,Turbocharger Assembly,4.6,2728.0,No Trouble Found
RO00096,3AK5EVSUYXFJKR1KP,D001,2025-10-20,106659,DEF system warning and derate,Routine service visit with diagnostic scan and repair notes.,Doser nozzle blocked,DEF Doser Valve,2.5,1031.0,Fixed First Visit
RO00097,1NKSMELA357VCRVV6,D009,2025-06-03,104806,Emission warning light on,Routine service visit with diagnostic scan and repair notes.,NOx sensor slow response observed,NOx Sensor Upstream,1.5,718.0,No Trouble Found
RO00098,4VG73NGG4Z436DGD2,D002,2025-10-09,77341,SCR efficiency fault active,Routine service visit with diagnostic scan and repair notes.,Sensor signal unstable during diagnostic test,NOx Sensor Upstream,1.7,669.0,No Trouble Found
RO00099,1NK4AHEKC0K4JCW0C,D004,2025-07-19,166656,Oil leak at rear wheel end,Routine service visit with diagnostic scan and repair notes.,Improper installation or axle vent restriction suspected,Rear Wheel Seal,1.8,477.0,Fixed First Visit
RO00100,4VGDP31B17AZW13R8,D006,2025-04-03,91387,Engine temperature running high,Routine service visit with diagnostic scan and repair notes.,Pump bearing noise found,Coolant Pump,2.2,840.0,Customer Declined Repair
RO00101,1HT85FC4XTBFRBUCM,D003,2025-12-06,163128,DEF dosing fault observed,Routine service visit with diagnostic scan and repair notes.,DEF doser crystallization observed,DEF Doser Valve,2.1,845.0,No Trouble Found
RO00102,4VGW9W3X2VJN31MW2,D005,2025-01-09,155963,Oil leak at rear wheel end,Routine service visit with diagnostic scan and repair notes.,Improper installation or axle vent restriction suspected,Rear Wheel Seal,2.1,609.0,No Trouble Found
RO00103,3AKSH6J6X5945L75T,D002,2025-07-20,148033,Recurring NOx related lamp,Routine service visit with diagnostic scan and repair notes.,SCR efficiency investigation incomplete,NOx Sensor Downstream,2.0,671.0,Customer Declined Repair
RO00104,1HTHCZ40E9YA38G40,D004,2025-04-06,81370,Wheel seal leakage found during inspection,Routine service visit with diagnostic scan and repair notes.,Wheel seal lip damaged,Rear Wheel Seal,2.5,603.0,No Trouble Found
RO00105,3AKTYUUANFS38S785,D003,2026-01-16,71238,DEF dosing fault observed,Routine service visit with diagnostic scan and repair notes.,DEF doser crystallization observed,DEF Doser Valve,2.3,1002.0,No Trouble Found
RO00106,1HTP826KTJST420RJ,D008,2025-07-25,110068,Wheel seal leakage found during inspection,Routine service visit with diagnostic scan and repair notes.,Oil leak verified at wheel end,Rear Wheel Seal,2.6,622.0,Customer Declined Repair
RO00107,1HT2L6JB2BF4J6MDT,D009,2025-04-10,99248,Poor acceleration with emission related lamp,Routine service visit with diagnostic scan and repair notes.,Possible EGR cooler restriction not fully verified,EGR Valve,2.7,1239.0,Fixed First Visit
RO00108,4VGGW9NK0LAX8BH0W,D004,2026-02-23,165609,Frequent regeneration request,Routine service visit with diagnostic scan and repair notes.,DPF restriction verified by pressure reading,DPF Assembly,6.0,3373.0,Customer Declined Repair
RO00109,4VGDP31B17AZW13R8,D006,2026-03-26,7765,Coolant leak under vehicle,Routine service visit with diagnostic scan and repair notes.,Pump bearing noise found,Coolant Pump,2.0,821.0,Customer Declined Repair
RO00110,1HTWFSH3R155W4WDG,D010,2025-10-03,103073,Check engine light after highway operation,Routine service visit with diagnostic scan and repair notes.,Sensor performance below expected threshold,NOx Sensor Downstream,2.0,815.0,Customer Declined Repair
